interaction_id,user_id,recipe_id,type,rating,timestamp
i_0001,user_100,r_curd_rice_0001,view,,2025-11-18T07:00:00Z
i_0002,user_101,r_curd_rice_0001,like,,2025-11-18T07:02:00Z
i_0003,user_102,r_0002,view,,2025-11-18T07:05:00Z
i_0004,user_103,r_0003,view,,2025-11-18T07:06:00Z
i_0005,user_104,r_0004,view,,2025-11-18T07:07:00Z
i_0006,user_105,r_0005,view,,2025-11-18T07:08:00Z
i_0007,user_106,r_0006,like,,2025-11-18T07:09:00Z
i_0008,user_107,r_0007,attempt,,2025-11-18T07:10:00Z
i_0009,user_108,r_0008,view,,2025-11-18T07:11:00Z
i_0010,user_109,r_0009,view,,2025-11-18T07:12:00Z
i_0011,user_110,r_0010,like,,2025-11-18T07:13:00Z
i_0012,user_111,r_0011,view,,2025-11-18T07:14:00Z
i_0013,user_112,r_0012,view,,2025-11-18T07:15:00Z
i_0014,user_113,r_0013,view,,2025-11-18T07:16:00Z
i_0015,user_114,r_0014,like,,2025-11-18T07:17:00Z
i_0016,user_115,r_0015,view,,2025-11-18T07:18:00Z
i_0017,user_100,r_0016,view,,2025-11-18T07:19:00Z
i_0018,user_101,r_0017,like,,2025-11-18T07:20:00Z
i_0019,user_102,r_0018,attempt,,2025-11-18T07:21:00Z
i_0020,user_103,r_0019,rating,5.0,2025-11-18T07:22:00Z
i_0021,user_104,r_0020,view,,2025-11-18T07:23:00Z
i_0022,user_105,r_curd_rice_0001,view,,2025-11-18T08:00:00Z
i_0023,user_106,r_curd_rice_0001,attempt,,2025-11-18T08:05:00Z
i_0024,user_107,r_0002,like,,2025-11-18T08:06:00Z
i_0025,user_108,r_0003,rating,4.0,2025-11-18T08:07:00Z
i_0026,user_109,r_0004,view,,2025-11-18T08:08:00Z
i_0027,user_110,r_0005,view,,2025-11-18T08:09:00Z
i_0028,user_111,r_0006,view,,2025-11-18T08:10:00Z
i_0029,user_112,r_0007,like,,2025-11-18T08:11:00Z
i_0030,user_113,r_0008,view,,2025-11-18T08:12:00Z
i_0031,user_114,r_0009,view,,2025-11-18T08:13:00Z
i_0032,user_115,r_0010,like,,2025-11-18T08:14:00Z
i_0033,user_100,r_0011,view,,2025-11-18T08:15:00Z
i_0034,user_101,r_0012,rating,5.0,2025-11-18T08:16:00Z
i_0035,user_102,r_0013,view,,2025-11-18T08:17:00Z
i_0036,user_103,r_0014,like,,2025-11-18T08:18:00Z
i_0037,user_104,r_0015,view,,2025-11-18T08:19:00Z
i_0038,user_105,r_0016,view,,2025-11-18T08:20:00Z
i_0039,user_106,r_0017,attempt,,2025-11-18T08:21:00Z
i_0040,user_107,r_0018,like,,2025-11-18T08:22:00Z
i_0041,user_108,r_0019,view,,2025-11-18T08:23:00Z
i_0042,user_109,r_0020,rating,4.0,2025-11-18T08:24:00Z
i_0043,user_110,r_curd_rice_0001,like,,2025-11-18T08:25:00Z
i_0044,user_111,r_0002,view,,2025-11-18T08:26:00Z
i_0045,user_112,r_0003,view,,2025-11-18T08:27:00Z
i_0046,user_113,r_0004,like,,2025-11-18T08:28:00Z
i_0047,user_114,r_0005,rating,3.0,2025-11-18T08:29:00Z
i_0048,user_115,r_0006,view,,2025-11-18T08:30:00Z
i_0049,user_100,r_0007,view,,2025-11-18T08:31:00Z
i_0050,user_101,r_0008,like,,2025-11-18T08:32:00Z
i_0051,user_102,r_0009,view,,2025-11-18T08:33:00Z
i_0052,user_103,r_0010,attempt,,2025-11-18T08:34:00Z
i_0053,user_104,r_0011,view,,2025-11-18T08:35:00Z
i_0054,user_105,r_0012,like,,2025-11-18T08:36:00Z
i_0055,user_106,r_0013,view,,2025-11-18T08:37:00Z
i_0056,user_107,r_0014,view,,2025-11-18T08:38:00Z
i_0057,user_108,r_0015,like,,2025-11-18T08:39:00Z
i_0058,user_109,r_0016,view,,2025-11-18T08:40:00Z
i_0059,user_110,r_0017,view,,2025-11-18T08:41:00Z
i_0060,user_111,r_0018,rating,4.0,2025-11-18T08:42:00Z
